x_fraction,mean_eneg,mean_radius,max_oxid,formation_energy_per_atom
0.2857,1.63,1.35,5.0,
0.2857,1.63,1.35,5.0,
0.2857,1.63,1.35,5.0,
0.2857,1.63,1.35,5.0,
0.2857,1.63,1.35,5.0,
0.2857,1.63,1.35,5.0,
0.2857,1.63,1.35,5.0,
0.2857,1.63,1.35,5.0,
0.2857,1.63,1.35,5.0,
0.2857,1.63,1.35,5.0,
0.2857,1.63,1.35,5.0,
0.2857,1.63,1.35,5.0,
0.2857,1.63,1.35,5.0,
0.2857,1.63,1.35,5.0,
0.2857,1.63,1.35,5.0,
0.2857,1.63,1.35,5.0,
0.2857,1.63,1.35,5.0,
0.2857,1.63,1.35,5.0,
0.2857,1.63,1.35,5.0,
0.2857,1.63,1.35,5.0,
0.2857,1.63,1.35,5.0,
0.2857,1.63,1.35,5.0,
0.2857,1.63,1.35,5.0,
0.2857,1.63,1.35,5.0,
0.2857,1.63,1.35,5.0,
0.2308,1.63,1.35,5.0,
0.375,1.63,1.35,5.0,
0.375,1.63,1.35,5.0,
0.375,1.63,1.35,5.0,
0.375,1.63,1.35,5.0,
0.375,1.63,1.35,5.0,
0.3,1.63,1.35,5.0,
0.3,1.63,1.35,5.0,
0.3,1.63,1.35,5.0,
0.3,1.63,1.35,5.0,
0.3,1.63,1.35,5.0,
0.2727,1.63,1.35,5.0,
0.2727,1.63,1.35,5.0,
0.2727,1.63,1.35,5.0,
0.2727,1.63,1.35,5.0,
0.2727,1.63,1.35,5.0,
0.2727,1.63,1.35,5.0,
0.2727,1.63,1.35,5.0,
0.3636,1.63,1.35,5.0,
0.3636,1.63,1.35,5.0,
0.3636,1.63,1.35,5.0,
0.3636,1.63,1.35,5.0,
0.3636,1.63,1.35,5.0,
0.3636,1.63,1.35,5.0,
0.3636,1.63,1.35,5.0,
0.3636,1.63,1.35,5.0,
0.3077,1.63,1.35,5.0,
0.3077,1.63,1.35,5.0,
0.3077,1.63,1.35,5.0,
0.2941,1.63,1.35,5.0,-2.234867
0.2941,1.63,1.35,5.0,
0.2941,1.63,1.35,5.0,
0.2941,1.63,1.35,5.0,
0.2941,1.63,1.35,5.0,
0.2632,1.63,1.35,5.0,
0.4167,1.63,1.35,5.0,
0.3571,1.63,1.35,5.0,
0.3571,1.63,1.35,5.0,
0.3529,1.63,1.35,5.0,
0.3529,1.63,1.35,5.0,
0.3158,1.63,1.35,5.0,
0.3158,1.63,1.35,5.0,
0.3158,1.63,1.35,5.0,
0.3158,1.63,1.35,5.0,
0.3158,1.63,1.35,5.0,
0.3158,1.63,1.35,5.0,
0.3158,1.63,1.35,5.0,
0.3158,1.63,1.35,5.0,
0.35,1.63,1.35,5.0,
0.35,1.63,1.35,5.0,
0.7,1.63,1.35,5.0,
0.7,1.63,1.35,5.0,
0.6364,1.63,1.35,5.0,
0.8889,1.63,1.35,5.0,
0.3478,1.63,1.35,5.0,
0.4091,1.63,1.35,5.0,
0.3462,1.63,1.35,5.0,
0.3462,1.63,1.35,5.0,
0.3103,1.63,1.35,5.0,
0.2903,1.63,1.35,5.0,
0.2903,1.63,1.35,5.0,
0.2903,1.63,1.35,5.0,
0.5,1.63,1.35,5.0,
0.5,1.63,1.35,5.0,
0.5,1.63,1.35,5.0,
0.5,1.63,1.35,5.0,
0.3333,1.63,1.35,5.0,
0.3333,1.63,1.35,5.0,
0.3333,1.63,1.35,5.0,
0.3333,1.63,1.35,5.0,
0.3333,1.63,1.35,5.0,
0.3333,1.63,1.35,5.0,
0.3333,1.63,1.35,5.0,
0.3333,1.63,1.35,5.0,
0.3333,1.63,1.35,5.0,
0.3333,1.63,1.35,5.0,
0.3333,1.63,1.35,5.0,
0.3333,1.63,1.35,5.0,
0.3333,1.63,1.35,5.0,
0.3333,1.63,1.35,5.0,
0.3333,1.63,1.35,5.0,
0.3333,1.63,1.35,5.0,
0.3333,1.63,1.35,5.0,
0.3333,1.63,1.35,5.0,
0.3333,1.63,1.35,5.0,
0.3333,1.63,1.35,5.0,
0.3333,1.63,1.35,5.0,
0.3333,1.63,1.35,5.0,
0.3333,1.63,1.35,5.0,
0.3333,1.63,1.35,5.0,
0.3333,1.63,1.35,5.0,
0.3333,1.63,1.35,5.0,
0.3333,1.63,1.35,5.0,
