battery_id,framework_formula,primary_tm,formula_discharge,tm_eneg,tm_ionic_radius,tm_max_oxidation_state,anion_eneg,li_per_fu,spacegroup_number,crystal_system,volume_per_atom,density,polyanion_eneg,structure_prototype,tm_oxidation_discharge,average_voltage,max_delta_volume
mp-556757_Na,K2NiF6,Ni,K2NaNiF6,1.91,1.35,2.0,3.98,0.0,225,7,15.5396,2.9787,0.0,0,3.0,4.676244,0.038152
mp-755819_Na,Li2FePCO7,Fe,NaLi2FePCO7,1.83,1.4,3.0,3.44,2.0,4,2,11.4208,2.7226,2.19,0,3.0,2.720518,0.056043
mp-754320_Na,Li2MnPCO7,Mn,NaLi2MnPCO7,1.55,1.4,7.0,3.44,2.0,1,1,11.4025,2.716,2.19,0,3.0,3.167488,0.092688
mp-756197_Na,Li3Fe2P2(CO7)2,Fe,Na3Li3Fe2P2(CO7)2,1.83,1.4,3.0,3.44,3.0,1,1,12.0501,2.651,2.19,0,3.5,3.29813,0.071962
mp-756199_Na,Li3Mn2P2(CO7)2,Mn,Na3Li3Mn2P2(CO7)2,1.55,1.4,7.0,3.44,3.0,1,1,11.5319,2.7588,2.19,0,3.5,3.357049,0.127063
mp-768689_Na,Li5Fe2P2(CO7)2,Fe,NaLi5Fe2P2(CO7)2,1.83,1.4,3.0,3.44,5.0,7,2,11.0257,2.7492,2.19,0,2.5,3.028984,0.031346
mp-768858_Na,Li5Mn2P2(CO7)2,Mn,NaLi5Mn2P2(CO7)2,1.55,1.4,7.0,3.44,5.0,1,1,11.1164,2.7159,2.19,0,2.5,3.088264,0.035778
mp-6838_Na,LiFe(Si2O5)3,Fe,Na2LiFe(Si2O5)3,1.83,1.4,3.0,3.44,1.0,64,3,13.5682,2.5078,1.9,0,3.0,4.569982,0.02665
mp-752752_Na,LiMnF6,Mn,Na2LiMnF6,1.55,1.4,7.0,3.98,1.0,148,5,12.5452,2.9099,0.0,5,5.0,4.931044,0.211459
mp-25408_Na,LiMnPCO7,Mn,NaLiMnPCO7,1.55,1.4,7.0,3.44,1.0,4,2,12.6563,2.5866,2.19,0,4.0,3.960867,0.081468
mp-753571_Na,LiVF6,V,Na2LiVF6,1.63,1.35,5.0,3.98,1.0,12,2,13.9423,2.5588,0.0,4,5.0,3.214492,0.092759
mp-2228929_Na,Mg(NiO2)5,Ni,Na4Mg(NiO2)5,1.91,1.35,2.0,3.44,0.0,2,1,11.8624,4.18,0.0,0,3.5,2.725942,0.053424
mp-1173809_Na,MgFe2(PO4)3,Fe,Na2MgFe2(PO4)3,1.83,1.4,3.0,3.44,0.0,5,2,12.3429,3.1459,2.19,0,3.0,2.650199,0.015587
mp-1002568_Na,MgMn2O4,Mn,NaMgMn2O4,1.55,1.4,7.0,3.44,0.0,10,2,11.4328,4.112,0.0,0,3.0,1.966129,0.079051
mp-1390795_Na,MgMn4O8,Mn,NaMgMn4O8,1.55,1.4,7.0,3.44,0.0,166,5,11.7931,4.0298,0.0,3,3.2495,2.445935,0.064201
mp-1043383_Na,Mn(GeO3)2,Mn,NaMn(GeO3)2,1.55,1.4,7.0,3.44,0.0,15,2,12.49,4.3757,2.01,4,4.0,3.954146,0.084264
mp-25237_Na,Mn(PO3)3,Mn,NaMn(PO3)3,1.55,1.4,7.0,3.44,0.0,19,3,12.297,3.0316,2.19,0,3.0,3.951716,0.100132
mp-19349_Na,Mn(SiO3)2,Mn,NaMn(SiO3)2,1.55,1.4,7.0,3.44,0.0,15,2,11.2941,3.3833,1.9,4,3.0,3.820905,0.090056
mp-759832_Na,Mn15O32,Mn,Na9Mn15O32,1.55,1.4,7.0,3.44,0.0,12,2,11.866,3.9781,0.0,4,3.5,3.563121,0.178007
mp-761085_Na,Mn21O40,Mn,Na9Mn21O40,1.55,1.4,7.0,3.44,0.0,5,2,11.8062,4.1357,0.0,0,3.5,3.038902,0.138812
mp-776638_Na,Mn2As(CO4)4,Mn,Na6Mn2As(CO4)4,1.55,1.4,7.0,3.44,0.0,70,3,15.4596,2.2829,2.18,0,3.0,3.933984,0.022072
mp-770525_Na,Mn2C4SO16,Mn,Na6Mn2C4SO16,1.55,1.4,7.0,3.44,0.0,70,3,15.0356,2.1415,2.58,0,2.0,3.737696,0.031714
mp-771487_Na,Mn2P(CO4)4,Mn,Na6Mn2P(CO4)4,1.55,1.4,7.0,3.44,0.0,70,3,15.1038,2.1266,2.19,0,3.0,3.880622,0.032467
mp-1040954_Na,Mn2P2O9,Mn,NaMn2P2O9,1.55,1.4,7.0,3.44,0.0,62,3,12.6775,3.1821,2.19,1,4.0,4.670379,0.028651
mp-697730_Na,Mn3(PO4)4,Mn,Na6Mn3(PO4)4,1.55,1.4,7.0,3.44,0.0,15,2,14.2103,2.7674,2.19,4,4.0,3.469876,0.140243
mp-1210177_Na,Mn3Ag(PO4)3,Mn,NaMn3Ag(PO4)3,1.55,1.4,7.0,3.44,0.0,15,2,12.0167,4.0554,2.19,4,2.5,4.169086,0.037968
mp-1012742_Na,Mn3P3O13,Mn,NaMn3P3O13,1.55,1.4,7.0,3.44,0.0,11,2,12.5675,3.2388,2.19,0,3.5,4.738863,0.023207
mp-16381_Na,Mn6P7O24,Mn,NaMn6P7O24,1.55,1.4,7.0,3.44,0.0,11,2,12.3587,3.3788,2.19,0,2.0,3.747225,0.022134
mp-18999_Na,Mn7O12,Mn,NaMn7O12,1.55,1.4,7.0,3.44,0.0,204,7,10.5448,4.7786,0.0,0,3.2495,3.508429,0.030349
mp-770900_Na,MnAsCO7,Mn,Na3MnAsCO7,1.55,1.4,7.0,3.44,0.0,4,2,16.1227,2.6147,2.18,0,4.0,3.390345,0.062758
mp-17876_Na,MnAsO4,Mn,NaMnAsO4,1.55,1.4,7.0,3.44,0.0,62,3,13.3668,4.0138,2.18,1,2.0,3.412239,0.158096
mp-770765_Na,MnBAsO7,Mn,Na3MnBAsO7,1.55,1.4,7.0,3.44,0.0,11,2,16.5903,2.529,2.04,0,3.0,3.503137,0.026737
mp-768574_Na,MnBPO7,Mn,Na3MnBPO7,1.55,1.4,7.0,3.44,0.0,11,2,15.5202,2.2331,2.04,0,3.0,3.668716,0.035911
