tm_eneg,tm_ionic_radius,tm_max_oxidation_state,anion_eneg,li_per_fu,spacegroup_number,crystal_system,volume_per_atom,density,neg_avg_voltage,max_delta_volume
1.8067,1.3667,4.0,3.44,2.0,64,3,11.5439,4.2492,,
1.7733,1.4,4.0,3.44,3.0,2,1,12.4421,3.8509,,
1.66,1.4,6.0,3.44,1.0,2,1,12.8481,4.2115,,
1.66,1.4,6.0,3.44,1.0,19,3,12.4505,2.964,-2.827417,0.027993
1.66,1.4,6.0,3.44,1.0,4,2,15.0631,2.3856,,
1.66,1.4,6.0,3.44,2.0,7,2,14.8969,2.3719,,
1.66,1.4,6.0,3.44,3.0,4,2,12.7285,2.8694,,
1.66,1.4,6.0,3.44,1.0,146,5,13.4053,2.7491,,
1.66,1.4,6.0,3.44,3.0,37,3,13.9263,2.4959,,
1.66,1.4,6.0,3.44,1.0,15,2,11.6981,3.2201,,
1.66,1.4,6.0,3.44,4.0,1,1,13.3658,6.177,,
1.7167,1.4,5.0,3.44,3.0,8,2,11.6807,4.3128,,
1.7226,1.4,4.8947,3.44,9.0,1,1,13.8319,3.1945,-4.030245,0.004233
1.66,1.4,6.0,3.44,9.0,1,1,13.371,3.2547,,
1.66,1.4,6.0,3.44,3.0,1,1,13.5246,2.8088,,
1.66,1.4,6.0,2.58,3.0,14,2,29.1944,1.9462,-2.909581,0.090876
1.66,1.4,6.0,3.44,1.0,14,2,12.3192,3.1096,,
1.7333,1.3833,5.0,3.44,3.0,8,2,11.9464,3.9989,,
1.762,1.4,4.2,3.44,5.0,2,1,12.3896,3.8557,,
1.7814,1.4,3.8571,3.44,5.0,5,2,11.9696,4.1999,,
1.7167,1.4,5.0,3.44,3.0,2,1,12.2881,3.8413,,
1.8386,1.3643,3.1429,3.44,5.0,4,2,11.152,4.6195,,
1.66,1.4,6.0,3.44,1.0,62,3,13.0598,3.0314,,
1.66,1.4,6.0,3.44,1.0,14,2,13.0706,2.8578,,
1.66,1.4,6.0,3.44,4.0,1,1,11.5008,2.8121,,
1.66,1.4,6.0,3.44,5.0,2,1,12.7564,2.8474,,
1.748,1.38,4.8,3.44,2.0,60,3,14.9602,3.0416,,
1.66,1.4,6.0,3.44,2.0,60,3,14.3528,3.2331,,
1.728,1.4,4.8,3.44,1.0,160,5,11.5109,4.3907,,
